Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 196649792k(194429084k free), swap 3905532k(3905532k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=187272527872 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseParallelGC 
2021-03-30T19:12:47.600+0200: 1.255: [GC (Metadata GC Threshold) [PSYoungGen: 404750K->37378K(611840K)] 404750K->37466K(2010112K), 0.0247642 secs] [Times: user=0.42 sys=0.02, real=0.03 secs] 
2021-03-30T19:12:47.625+0200: 1.280: [Full GC (Metadata GC Threshold) [PSYoungGen: 37378K->0K(611840K)] [ParOldGen: 88K->36131K(902144K)] 37466K->36131K(1513984K), [Metaspace: 20779K->20779K(22528K)], 0.0457482 secs] [Times: user=1.00 sys=0.02, real=0.04 secs] 
2021-03-30T19:12:49.463+0200: 3.119: [GC (Metadata GC Threshold) [PSYoungGen: 428950K->82350K(794624K)] 465081K->118489K(1696768K), 0.0374762 secs] [Times: user=0.96 sys=0.04, real=0.04 secs] 
2021-03-30T19:12:49.501+0200: 3.157: [Full GC (Metadata GC Threshold) [PSYoungGen: 82350K->0K(794624K)] [ParOldGen: 36139K->105387K(1474048K)] 118489K->105387K(2268672K), [Metaspace: 34829K->34690K(36864K)], 0.0356219 secs] [Times: user=0.38 sys=0.05, real=0.04 secs] 
2021-03-30T19:12:51.230+0200: 4.885: [GC (Allocation Failure) [PSYoungGen: 712192K->73041K(1098752K)] 817579K->178437K(2572800K), 0.0435961 secs] [Times: user=1.26 sys=0.03, real=0.05 secs] 
2021-03-30T19:12:51.684+0200: 5.340: [GC (Allocation Failure) [PSYoungGen: 1098577K->81404K(1112576K)] 1203973K->290483K(2586624K), 0.0361579 secs] [Times: user=0.81 sys=0.41, real=0.04 secs] 
2021-03-30T19:12:54.549+0200: 8.205: [GC (Allocation Failure) [PSYoungGen: 1112572K->87020K(1118208K)] 1321651K->347639K(2592256K), 0.0334173 secs] [Times: user=0.99 sys=0.04, real=0.03 secs] 
2021-03-30T19:12:56.826+0200: 10.481: [GC (Allocation Failure) [PSYoungGen: 1118188K->198116K(1700352K)] 1378807K->516051K(3174400K), 0.0352825 secs] [Times: user=0.56 sys=0.80, real=0.03 secs] 
