Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 196649792k(194399384k free), swap 3905532k(3905532k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=187272527872 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseParallelGC 
2021-03-30T19:12:47.640+0200: 1.294: [GC (Metadata GC Threshold) [PSYoungGen: 404766K->37658K(611840K)] 404766K->37746K(2010112K), 0.0242977 secs] [Times: user=0.44 sys=0.01, real=0.02 secs] 
2021-03-30T19:12:47.664+0200: 1.318: [Full GC (Metadata GC Threshold) [PSYoungGen: 37658K->0K(611840K)] [ParOldGen: 88K->36131K(893952K)] 37746K->36131K(1505792K), [Metaspace: 20779K->20779K(22528K)], 0.0416551 secs] [Times: user=0.88 sys=0.05, real=0.04 secs] 
2021-03-30T19:12:51.219+0200: 4.873: [GC (Allocation Failure) [PSYoungGen: 524800K->80652K(757248K)] 560931K->116791K(1651200K), 0.0256592 secs] [Times: user=0.70 sys=0.04, real=0.02 secs] 
2021-03-30T19:12:51.292+0200: 4.946: [GC (Allocation Failure) [PSYoungGen: 757004K->77313K(1130496K)] 793143K->113460K(2024448K), 0.0208540 secs] [Times: user=0.65 sys=0.06, real=0.02 secs] 
2021-03-30T19:12:52.500+0200: 6.154: [GC (Metadata GC Threshold) [PSYoungGen: 1120769K->87013K(1290752K)] 1156916K->224035K(2184704K), 0.0227923 secs] [Times: user=0.17 sys=0.66, real=0.02 secs] 
2021-03-30T19:12:52.523+0200: 6.177: [Full GC (Metadata GC Threshold) [PSYoungGen: 87013K->0K(1290752K)] [ParOldGen: 137021K->208839K(1331200K)] 224035K->208839K(2621952K), [Metaspace: 34430K->33910K(36864K)], 0.0765728 secs] [Times: user=1.51 sys=0.27, real=0.08 secs] 
2021-03-30T19:12:55.715+0200: 9.369: [GC (Allocation Failure) [PSYoungGen: 1203712K->87024K(1290752K)] 1412551K->458442K(2621952K), 0.0250847 secs] [Times: user=0.42 sys=0.44, real=0.03 secs] 
2021-03-30T19:12:58.147+0200: 11.801: [GC (Allocation Failure) [PSYoungGen: 1290736K->268636K(2316288K)] 1662154K->640062K(3647488K), 0.0306525 secs] [Times: user=0.38 sys=0.64, real=0.04 secs] 
2021-03-30T19:13:01.130+0200: 14.784: [GC (Allocation Failure) [PSYoungGen: 2308956K->332280K(2372608K)] 2680382K->840746K(3703808K), 0.0460276 secs] [Times: user=0.63 sys=0.81, real=0.05 secs] 
2021-03-30T19:13:04.234+0200: 17.888: [GC (Allocation Failure) [PSYoungGen: 2372600K->466919K(3632128K)] 2881066K->1249492K(4963328K), 0.0775895 secs] [Times: user=0.84 sys=1.56, real=0.08 secs] 
2021-03-30T19:13:06.719+0200: 20.372: [GC (Allocation Failure) [PSYoungGen: 3632103K->600856K(3838464K)] 4414676K->1577642K(5169664K), 0.0841639 secs] [Times: user=1.18 sys=1.36, real=0.08 secs] 
2021-03-30T19:13:12.027+0200: 25.680: [GC (Allocation Failure) [PSYoungGen: 3766040K->765425K(4781568K)] 4742826K->2270499K(6286848K), 0.1512092 secs] [Times: user=0.22 sys=4.48, real=0.16 secs] 
2021-03-30T19:13:12.178+0200: 25.832: [Full GC (Ergonomics) [PSYoungGen: 765425K->667580K(4781568K)] [ParOldGen: 1505074K->1504977K(3203072K)] 2270499K->2172557K(7984640K), [Metaspace: 47145K->46380K(49152K)], 0.2530106 secs] [Times: user=6.67 sys=1.52, real=0.25 secs] 
2021-03-30T19:13:16.581+0200: 30.235: [GC (Allocation Failure) [PSYoungGen: 4683708K->241069K(5103616K)] 6188685K->2412992K(8306688K), 0.0905138 secs] [Times: user=0.63 sys=2.52, real=0.09 secs] 
2021-03-30T19:13:24.488+0200: 38.142: [GC (Allocation Failure) [PSYoungGen: 4256874K->360773K(6204416K)] 6428797K->2736129K(9407488K), 0.0834243 secs] [Times: user=0.47 sys=1.80, real=0.08 secs] 
